GENRES,ID
 Academic ,1
 Academic user,2
 Academic-Academia ,3
 Academic-College ,4
 Academic-College user,5
 Academic-Grad School ,6
 Academic-Grad School user,7
 Academic-Read For School ,8
 Academic-Read For School user,9
 Academic-School ,10
 Academic-School -,11
 Academic-School user,12
 Academic-Teachers ,13
 Academic-Teachers user,14
 Action ,15
 Action user,16
 Adolescence ,17
 Adult ,18
 Adult Fiction ,19
 Adult Fiction user,20
 Adult Fiction-Erotica ,21
 Adult Fiction-Erotica user,22
 Adult user,23
 Adventure ,24
 Adventure user,25
 Adventure-Maritime ,26
 Adventure-Pirates ,27
 Adventure-Survival ,28
 Adventure-Survival user,29
 Aeroplanes ,30
 Africa-Eastern Africa ,31
 African Literature-Egyptian Literature ,32
 Africa-Western Africa ,33
 Alcohol-Beer ,34
 Alcohol-Booze ,35
 Alcohol-Cocktails ,36
 Alcohol-Wine ,37
 American History-American Civil War ,38
 American History-American Civil War user,39
 American Revolution-American Revolutionary War ,40
 American Revolution-American Revolutionary War user,41
 American-African American Literature ,42
 American-African American Literature user,43
 American-American Classics ,44
 American-American Fiction ,45
 American-American Fiction user,46
 American-Americana ,47
 American-Southern ,48
 American-Southern user,49
 Amish ,50
 Anarchism ,51
 Animals ,52
 Animals user,53
 Animals-Animal Fiction ,54
 Animals-Animal Fiction user,55
 Animals-Anthropomorphic ,56
 Animals-Birds ,57
 Animals-Cats ,58
 Animals-Cats user,59
 Animals-Dinosaurs ,60
 Animals-Dogs ,61
 Animals-Horses ,62
 Animals-Horses user,63
 Animals-Rabbits ,64
 Animals-Wolves ,65
 Animals-Wolves user,66
 Anthologies ,67
 Anthologies user,68
 Anthologies-Collections ,69
 Anthologies-Collections user,70
 Anthropology ,71
 Anthropology user,72
 Anthropology-Ethnography ,73
 Anthropology-Ethnography user,74
 Apocalyptic-Post Apocalyptic ,75
 Apocalyptic-Post Apocalyptic user,76
 Architecture ,77
 Architecture user,78
 Art ,79
 Art and Photography ,80
 Art and Photography user,81
 Art user,82
 Art-Art Design ,83
 Art-Art Design user,84
 Art-Art History ,85
 Art-Crafts ,86
 Art-Crafts user,87
 Art-Drawing ,88
 Art-Drawing user,89
 Art-Graffiti ,90
 Art-Graffiti user,91
 Artificial Intelligence ,92
 Art-Photography ,93
 Art-Photography -,94
 Art-Photography user,95
 Art-Street Art ,96
 Art-Visual Art ,97
 Art-Woodwork ,98
 Asian Literature-Chinese Literature ,99
 Asian Literature-Indian Literature ,100
 Asian Literature-Indian Literature user,101
 Asian Literature-Indonesian Literature ,102
 Asian Literature-Indonesian Literature user,103
 Asian Literature-Japanese Literature ,104
 Asian Literature-Japanese Literature user,105
 Asian Literature-Turkish Literature ,106
 Astronomy-Planets ,107
 Audiobook ,108
 Audiobook user,109
 Autobiography-Memoir ,110
 Autobiography-Memoir user,111
 Aviation ,112
 Beer-Brewing ,113
 Biblical ,114
 Biblical Fiction ,115
 Biography ,116
 Biography Memoir ,117
 Biography Memoir user,118
 Biography user,119
 Biography-Autobiography ,120
 Biography-Autobiography user,121
 Biography-Music Biography ,122
 Biology-Ecology ,123
 Biology-Ecology user,124
 Biology-Evolution ,125
 Biology-Evolution user,126
 Biology-Genetics ,127
 Biology-Neuroscience ,128
 Book Club ,129
 Book Club user,130
 Buddhism-Zen ,131
 Buisness ,132
 Buisness user,133
 Business ,134
 Business user,135
 Business-Amazon ,136
 Business-Amazon user,137
 Business-Apple ,138
 Business-Entrepreneurship ,139
 Business-Management ,140
 Business-Management user,141
 Canon user,142
 Cartography-Maps ,143
 Category Romance-Harlequin ,144
 Category Romance-Love Inspired ,145
 Category Romance-Loveswept ,146
 Category Romance-Mills and Boon ,147
 Category Romance-Silhouette ,148
 Category Romance-Traditional Regency ,149
 Central Africa-Angola ,150
 Central Africa-Republic Of The Congo ,151
 Childrens ,152
 Childrens user,153
 Childrens-Chapter Books ,154
 Childrens-Chapter Books user,155
 Childrens-Childrens Classics ,156
 Childrens-Juvenile ,157
 Childrens-Juvenile user,158
 Childrens-Middle Grade ,159
 Childrens-Middle Grade user,160
 Childrens-nd Grade ,161
 Childrens-nd Grade user,162
 Childrens-Nursery Rhymes ,163
 Childrens-Picture Books ,164
 Childrens-Picture Books user,165
 Childrens-Pre K ,166
 Childrens-Pre K user,167
 Childrens-School Stories ,168
 Childrens-st Grade ,169
 Childrens-Storytime ,170
 Childrens-Young Readers ,171
 Childrens-Young Readers user,172
 Christian ,173
 Christian -,174
 Christian Fiction ,175
 Christian Fiction user,176
 Christian Fiction-Amish Fiction ,177
 Christian Fiction-Christian Fantasy ,178
 Christian Fiction-Christian Historical Fiction ,179
 Christian user,180
 Christian-Christian Living ,181
 Christian-Christian Living user,182
 Christian-Christian Non Fiction ,183
 Christian-Christian Non Fiction user,184
 Christianity-Catholic ,185
 Christianity-Catholic user,186
 Christianity-Discipleship ,187
 Christianity-Ecclesiology ,188
 Christianity-Lds ,189
 Christianity-Lds user,190
 Christianity-New Testament ,191
 Christianity-New Testament user,192
 Christianity-Old Testament ,193
 Church-Church History ,194
 Cities-Urban Planning ,195
 Cities-Urban Studies ,196
 Cities-Urbanism ,197
 Civil War-English Civil War ,198
 Civil War-Spanish Civil War ,199
 Classics ,200
 Classics user,201
 Classics-Classic Literature ,202
 Classics-Classic Literature user,203
 Classics-Cult Classics ,204
 Classics-Modern Classics ,205
 Colouring Books ,206
 Combat-Martial Arts ,207
 Comics Bd ,208
 Comics Bd user,209
 Comics Manga ,210
 Comics Manga user,211
 Comics-Comic Book ,212
 Comics-Comic Book user,213
 Comics-Superheroes ,214
 Comics-Superheroes user,215
 Computer Science-Algorithms ,216
 Computer Science-Coding ,217
 Computer Science-Computers ,218
 Computer Science-Computers user,219
 Computer Science-Programming ,220
 Computer Science-Software ,221
 Computer Science-Technical ,222
 Computers-Hackers ,223
 Computers-Internet ,224
 Conservation ,225
 Conservation user,226
 Contemporary ,227
 Contemporary Romance-Sports Romance ,228
 Contemporary user,229
 Couture-Fashion ,230
 Couture-Fashion user,231
 Crafts-Knitting ,232
 Crafts-Quilting ,233
 Crafts-Sewing ,234
 Crime-True Crime ,235
 Crime-True Crime user,236
 Criticism ,237
 Criticism user,238
 Criticism-Literary Criticism ,239
 Criticism-Literary Criticism user,240
 Cryptids-Bigfoot user,241
 Cryptids-Yeti ,242
 Cultural ,243
 Cultural user,244
 Cultural-Africa ,245
 Cultural-Africa user,246
 Cultural-African American ,247
 Cultural-African American user,248
 Cultural-Asia ,249
 Cultural-Asia user,250
 Cultural-Australia ,251
 Cultural-Bangladesh ,252
 Cultural-Belgium ,253
 Cultural-Belgium user,254
 Cultural-Bolivia ,255
 Cultural-Brazil ,256
 Cultural-Bulgaria ,257
 Cultural-Canada ,258
 Cultural-Canada user,259
 Cultural-China ,260
 Cultural-China user,261
 Cultural-Counter Culture ,262
 Cultural-Counter Culture user,263
 Cultural-Denmark ,264
 Cultural-Denmark user,265
 Cultural-France ,266
 Cultural-France user,267
 Cultural-Germany ,268
 Cultural-Greece ,269
 Cultural-Greece user,270
 Cultural-Hungary ,271
 Cultural-India ,272
 Cultural-India user,273
 Cultural-International ,274
 Cultural-International user,275
 Cultural-Iran ,276
 Cultural-Ireland ,277
 Cultural-Israel ,278
 Cultural-Italy ,279
 Cultural-Italy user,280
 Cultural-Japan ,281
 Cultural-Kazakhstan ,282
 Cultural-Latin American ,283
 Cultural-Lebanon ,284
 Cultural-Pakistan ,285
 Cultural-Pakistan user,286
 Cultural-Poland ,287
 Cultural-Poland user,288
 Cultural-Portugal ,289
 Cultural-Portugal user,290
 Cultural-Romania ,291
 Cultural-Romania user,292
 Cultural-Russia ,293
 Cultural-Russia -,294
 Cultural-Scotland ,295
 Cultural-Spain ,296
 Cultural-Spain user,297
 Cultural-Sweden ,298
 Cultural-Tasmania ,299
 Cultural-Turkish ,300
 Cultural-Turkish user,301
 Cultural-Ukraine ,302
 Culture-Cultural Studies ,303
 Culture-Film ,304
 Culture-Film user,305
 Culture-Pop Culture ,306
 Culture-Pop Culture user,307
 Culture-Society ,308
 Currency-Money ,309
 Currency-Money user,310
 Dark ,311
 Dark Fantasy-Goth ,312
 Dark user,313
 Dc Comics-Batman ,314
 Dc Comics-Superman ,315
 Dc Comics-Wonder Woman ,316
 Death ,317
 Death user,318
 Design ,319
 Design user,320
 Diary ,321
 Diary user,322
 Diary-Journal ,323
 Diary-Journal user,324
 Diary-Journaling ,325
 Diary-Journaling user,326
 Disability ,327
 Disability user,328
 Disability-Disability Studies ,329
 Doctors ,330
 Drama ,331
 Drama user,332
 Dungeons and Dragons-Dragonlance ,333
 Dungeons and Dragons-Forgotten Realms ,334
 Earth-The World ,335
 Earth-The World user,336
 Eastern Africa-Burundi ,337
 Eastern Africa-Eritrea ,338
 Eastern Africa-Ethiopia ,339
 Eastern Africa-Kenya ,340
 Eastern Africa-Malawi ,341
 Eastern Africa-Mozambique ,342
 Eastern Africa-Rwanda ,343
 Eastern Africa-Rwanda user,344
 Eastern Africa-Somalia ,345
 Eastern Africa-Tanzania ,346
 Eastern Africa-Uganda ,347
 Eastern Africa-Zimbabwe ,348
 Economics ,349
 Economics user,350
 Economics-Finance ,351
 Economics-Finance user,352
 Economics-Frugal ,353
 Education ,354
 Education user,355
 Emergency Services-Firefighters ,356
 Emergency Services-Police ,357
 Engineering-Electrical Engineering ,358
 English History-Tudor Period ,359
 Environment ,360
 Environment user,361
 Environment-Climate Change ,362
 Environment-Green ,363
 Environment-Nature ,364
 Environment-Nature user,365
 Environment-Peak Oil ,366
 Environment-Sustainability ,367
 Epic ,368
 Erotica-BDSM ,369
 Erotica-Menage ,370
 Esoterica-Alchemy ,371
 Esoterica-Astrology ,372
 Esoterica-Spiritualism ,373
 Esoterica-Theosophy user,374
 European History-French Revolution ,375
 European Literature-Albanian Literature ,376
 European Literature-Belgian ,377
 European Literature-British Literature ,378
 European Literature-British Literature user,379
 European Literature-Bulgarian Literature ,380
 European Literature-Czech Literature ,381
 European Literature-Danish ,382
 European Literature-Dutch Literature ,383
 European Literature-Finnish Literature ,384
 European Literature-Finnish Literature user,385
 European Literature-French Literature ,386
 European Literature-French Literature user,387
 European Literature-German Literature ,388
 European Literature-German Literature user,389
 European Literature-Hungarian Literature ,390
 European Literature-Hungarian Literature user,391
 European Literature-Irish Literature ,392
 European Literature-Irish Literature user,393
 European Literature-Italian Literature ,394
 European Literature-Italian Literature user,395
 European Literature-Polish Literature ,396
 European Literature-Portuguese Literature ,397
 European Literature-Portuguese Literature user,398
 European Literature-Romanian Literature ,399
 European Literature-Romanian Literature user,400
 European Literature-Scandinavian Literature ,401
 European Literature-Serbian Literature ,402
 European Literature-Serbian Literature user,403
 European Literature-Spanish Literature ,404
 European Literature-Spanish Literature user,405
 European Literature-Swedish Literature ,406
 European Literature-Swedish Literature user,407
 European Literature-Ukrainian Literature ,408
 Fairies-Fae ,409
 Fairy Tales-Beauty and The Beast ,410
 Fairy Tales-Cinderella ,411
 Fairy Tales-Fairy Tale Retellings ,412
 Fairy Tales-Princesses ,413
 Family ,414
 Family Law-Divorce ,415
 Family Law-Divorce user,416
 Family Law-Fostering ,417
 Family user,418
 Fan Fiction ,419
 Fantasy ,420
 Fantasy -,421
 Fantasy user,422
 Fantasy-Comic Fantasy ,423
 Fantasy-Dark Fantasy ,424
 Fantasy-Dragons ,425
 Fantasy-Dragons user,426
 Fantasy-Epic Fantasy ,427
 Fantasy-Epic Fantasy user,428
 Fantasy-Fairy Tales ,429
 Fantasy-Fairy Tales user,430
 Fantasy-Heroic Fantasy ,431
 Fantasy-High Fantasy ,432
 Fantasy-High Fantasy user,433
 Fantasy-Low Fantasy user,434
 Fantasy-Magic ,435
 Fantasy-Magic user,436
 Fantasy-Mythology ,437
 Fantasy-Mythology user,438
 Fantasy-Paranormal ,439
 Fantasy-Paranormal user,440
 Fantasy-Supernatural ,441
 Fantasy-Supernatural user,442
 Fantasy-Unicorns ,443
 Fantasy-Urban Fantasy ,444
 Fantasy-Urban Fantasy user,445
 Fantasy-Weird Fiction ,446
 Fantasy-Weird Fiction user,447
 Fat-Fat Acceptance ,448
 Fat-Fat Studies ,449
 Favorites ,450
 Female Authors ,451
 Female Authors user,452
 Feminism ,453
 Feminism user,454
 Feminism-Womens Studies ,455
 Feminism-Womens Studies user,456
 Fiction ,457
 Fiction -,458
 Fiction user,459
 Finance-Personal Finance ,460
 Finance-Personal Finance user,461
 Folk Tales ,462
 Folk Tales user,463
 Folk Tales-Fables ,464
 Folklore ,465
 Folklore user,466
 Folklore-Monsters ,467
 Folklore-Monsters user,468
 Food and Drink ,469
 Food and Drink user,470
 Food and Drink-Cookbooks ,471
 Food and Drink-Cookbooks user,472
 Food and Drink-Cooking ,473
 Food and Drink-Cooking user,474
 Food and Drink-Cuisine ,475
 Food and Drink-Culinary ,476
 Food and Drink-Culinary user,477
 Food and Drink-Diets ,478
 Food and Drink-Food ,479
 Food and Drink-Food user,480
 Food and Drink-Food Writing ,481
 Food and Drink-Foodie ,482
 Food and Drink-Gastronomy ,483
 Food and Drink-Tea ,484
 Food and Drink-Vegan ,485
 Food and Drink-Vegetarian ,486
 Football ,487
 Futurism ,488
 Futurism user,489
 Futuristic ,490
 Futuristic user,491
 Gamebooks-Choose Your Own Adventure ,492
 Games-Chess ,493
 Games-Game Design ,494
 Games-Gaming ,495
 Games-Go ,496
 Games-Role Playing Games ,497
 Games-Video Games ,498
 Games-Video Games user,499
 Gardening ,500
 Gardening user,501
 Gardening-Horticulture ,502
 Gay Romance-Gay For You ,503
 Gay-Gay Fiction ,504
 Gender ,505
 Gender-Gender Studies ,506
 Geography-Cartography ,507
 Geography-Cities ,508
 Geology-Palaeontology ,509
 German History-Nazi Party ,510
 GLBT-Lesbian ,511
 GLBT-Queer ,512
 GLBT-Queer Studies ,513
 GLBT-Queer user,514
 Gothic ,515
 Gothic user,516
 Gothic-Gothic Romance ,517
 Gothic-Southern Gothic ,518
 Graphic Novels Comics ,519
 Graphic Novels Comics user,520
 Graphic Novels Manga ,521
 Harlequin-Harlequin Blaze ,522
 Harlequin-Harlequin Desire ,523
 Harlequin-Harlequin Heartwarming ,524
 Harlequin-Harlequin Historical ,525
 Harlequin-Harlequin Nocturne ,526
 Harlequin-Harlequin Presents ,527
 Harlequin-Hqn ,528
 Health ,529
 Health user,530
 Health-Aspergers user,531
 Health-Fat ,532
 Health-Health Care ,533
 Health-Illness ,534
 Health-Medicine ,535
 Health-Medicine user,536
 Health-Mental Health ,537
 Health-Mental Health user,538
 Health-Nutrition ,539
 Health-Nutrition user,540
 Heroic Fantasy-Sword and Sorcery ,541
 Historical ,542
 Historical Fiction-Historical Fantasy ,543
 Historical Fiction-Naval Historical Fiction ,544
 Historical Fiction-Prehistoric ,545
 Historical Romance-Medieval Romance ,546
 Historical Romance-Regency Romance ,547
 Historical Romance-Victorian Romance ,548
 Historical Romance-Western Historical Romance ,549
 Historical Romance-Western Historical Romance user,550
 Historical user,551
 Historical-Edwardian user,552
 Historical-Georgian ,553
 Historical-Historical Fiction ,554
 Historical-Historical Fiction user,555
 Historical-Medieval ,556
 Historical-Medieval user,557
 Historical-Plantagenet ,558
 Historical-Regency ,559
 Historical-Stuart ,560
 Historical-Victorian ,561
 Historical-Victorian user,562
 History ,563
 History and Politics ,564
 History and Politics user,565
 History user,566
 History-Ancient History ,567
 History-Ancient History user,568
 History-Archaeology ,569
 History-European History ,570
 History-European History user,571
 History-Food History ,572
 History-Japanese History ,573
 History-Latin American History ,574
 History-Local History user,575
 History-Medieval History ,576
 History-Medieval History user,577
 History-Microhistory ,578
 History-Oral History ,579
 History-Prehistory ,580
 History-Russian History ,581
 History-Russian History user,582
 History-World History ,583
 History-World History user,584
 Holiday ,585
 Holiday user,586
 Holiday-Christmas ,587
 Holiday-Halloween ,588
 Holiday-Halloween user,589
 Horror ,590
 Horror -,591
 Horror user,592
 Horror-Bizarro Fiction ,593
 Horror-Erotic Horror ,594
 Horror-Erotic Horror user,595
 Horror-Ghost Stories ,596
 Horror-Lovecraftian ,597
 Horror-Splatterpunk ,598
 Horror-Victor Frankenstein ,599
 Horror-Zombies ,600
 How To ,601
 How To user,602
 Hugo Awards ,603
 Humanities ,604
 Humanities-Classical Studies ,605
 Humanities-Language ,606
 Humanities-Language user,607
 Humanities-Linguistics ,608
 Humanities-Linguistics user,609
 Humor ,610
 Humor user,611
 Humor-Comedian ,612
 Humor-Comedian user,613
 Humor-Comedy ,614
 Humor-Comedy user,615
 Illness-Disease ,616
 Inspirational ,617
 Inspirational user,618
 International Dev...-Human Development ,619
